City	State	Yrs	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
RENO	NV	66	6	6	5	4	4	3	2	2	2	2	4	6	46
TULSA	OK	69	6	6	8	8	10	9	6	6	7	6	6	6	84
ABERDEEN	SD	77	6	6	7	8	9	10	8	8	6	5	5	6	84
SIOUX FALLS	SD	63	6	6	8	9	11	11	9	8	8	6	6	6	94
BROWNSVILLE	TX	66	7	5	4	3	4	5	4	6	9	7	6	6	66
CORPUS CHRISTI	TX	69	7	6	5	5	6	6	5	6	9	6	5	6	72
DALLAS-FORT WORTH	TX	55	6	6	7	7	8	6	4	4	6	6	6	6	72
WACO	TX	65	7	7	7	7	8	6	4	5	6	6	6	6	75
MILFORD	UT	56	7	7	8	6	5	3	5	6	4	4	5	6	66
GULKANA	AK	50	6	5	4	2	5	9	12	11	11	8	7	7	87
FORT SMITH	AR	63	7	7	9	9	10	8	7	6	7	7	7	7	91
FRESNO	CA	59	7	7	6	4	2	0	1	1	1	2	5	7	43
SANTA MARIA	CA	66	7	7	7	4	1	0	1	1	1	2	5	7	43
STOCKTON	CA	66	9	8	8	5	2	0	1	1	1	3	7	7	52
DAYTONA BEACH	FL	65	7	7	7	5	7	12	13	13	13	10	7	7	108
JACKSONVILLE	FL	67	8	7	8	6	7	12	14	14	13	8	6	7	110
VERO BEACH	FL	25	8	7	7	6	8	14	13	14	15	12	8	7	119
DES MOINES	IA	69	7	7	9	10	11	10	9	9	8	7	7	7	101
WATERLOO	IA	58	7	6	9	10	11	10	9	8	8	7	7	7	99
KANSAS CITY	MO	36	7	6	9	10	11	10	8	8	8	7	7	7	98
GLASGOW	MT	53	8	6	7	7	9	11	8	7	6	5	6	7	87
GREAT FALLS	MT	71	8	7	9	9	11	12	7	7	7	6	6	7	96
HELENA	MT	68	7	6	8	8	11	11	7	7	6	5	6	7	89
OMAHA (NORTH)	NE	18	5	6	10	11	12	10	10	9	9	7	6	7	102
BISMARCK	ND	69	7	6	8	7	9	11	9	8	7	5	6	7	90
AUSTIN	TX	67	7	7	7	7	8	6	5	5	6	6	7	7	78
SAN ANTONIO	TX	66	7	7	7	7	8	6	4	5	6	6	6	7	76
CASPER	WY	58	6	7	9	10	10	8	7	5	6	6	6	7	87
FAIRBANKS	AK	57	7	6	5	4	6	10	12	12	9	10	9	8	98
UNALAKLEET	AK	17	6	5	6	6	6	8	12	16	12	10	8	8	103
APALACHICOLA	FL	61	9	8	8	6	5	10	15	14	11	5	6	8	105
TALLAHASSEE	FL	47	9	8	8	6	7	13	16	14	9	5	6	8	109
WEST PALM BEACH	FL	66	7	7	7	6	10	14	14	16	17	12	8	8	126
SAVANNAH	GA	58	9	8	8	6	8	11	13	12	10	6	6	8	105
SAINT CLOUD	MN	68	8	6	8	9	11	11	9	9	9	7	7	8	102
COLUMBIA	MO	39	7	8	10	11	12	8	8	8	8	9	9	8	106
SPRINGFIELD	MO	63	8	8	10	10	11	10	8	8	7	8	8	8	104
ELKO	NV	78	9	8	8	7	7	5	3	3	3	4	6	8	71
WINNEMUCCA	NV	59	8	7	7	6	6	4	2	2	3	4	7	8	64
WILMINGTON	NC	57	10	9	10	7	9	10	13	12	9	7	7	8	111
FARGO	ND	66	8	7	7	7	10	11	9	9	8	6	6	8	96
WILLISTON	ND	47	7	6	7	8	9	11	8	7	7	5	6	8	89
CHARLESTON AP	SC	66	9	8	9	7	8	11	13	12	9	6	6	8	106
CHARLESTON C.O.	SC	33	9	7	8	6	7	10	10	11	9	6	6	8	97
VICTORIA	TX	47	8	7	7	6	7	8	7	8	9	6	6	8	87
ROANOKE	VA	61	9	9	10	10	11	10	11	10	8	7	8	8	111
LA CROSSE	WI	56	8	7	9	10	11	11	10	9	9	8	8	8	108
SHERIDAN	WY	68	8	8	10	10	11	10	7	6	7	7	7	8	99
BIRMINGHAM C.O.	AL	11	10	10	11	9	10	9	12	10	9	8	10	9	117
MOBILE	AL	67	10	9	9	7	8	11	15	13	9	6	7	9	113
MONTGOMERY	AL	64	10	9	9	7	8	9	11	9	7	5	7	9	100
KOTZEBUE	AK	65	8	7	7	6	5	6	10	14	12	10	9	9	103
LITTLE ROCK	AR	66	9	9	10	9	10	8	8	6	7	7	8	9	100
NORTH LITTLE ROCK	AR	30	9	9	9	9	11	9	8	6	7	7	8	9	101
SACRAMENTO	CA	69	10	8	8	5	2	1	1	1	1	3	7	9	56
WASHINGTON DULLES AP	DC	45	10	8	10	10	12	10	10	9	8	7	9	9	112
WASHINGTON NAT'L AP	DC	67	10	8	10	9	11	9	9	8	7	7	8	9	105
PENSACOLA	FL	45	9	8	8	6	7	10	14	13	8	5	7	9	104
AUGUSTA	GA	58	10	8	9	7	8	10	11	10	7	6	6	9	101
COLUMBUS	GA	63	10	9	9	7	8	9	12	10	7	5	7	9	102
MACON	GA	60	10	9	10	7	8	9	12	10	7	5	7	9	103
MOLINE	IL	76	9	8	10	11	11	10	9	9	8	7	8	9	109
PEORIA	IL	69	9	8	10	11	11	9	8	8	8	8	9	9	108
ROCKFORD	IL	58	9	8	10	11	11	10	9	9	8	8	9	9	111
SPRINGFIELD	IL	61	9	8	11	11	10	9	8	8	7	7	9	9	106
DUBUQUE	IA	56	9	8	10	11	12	10	10	9	8	8	8	9	112
BATON ROUGE	LA	57	9	8	8	7	7	10	13	11	8	5	7	9	102
LAKE CHARLES	LA	47	9	8	7	6	7	9	10	10	9	6	7	9	97
NEW ORLEANS	LA	60	9	8	8	6	7	11	14	12	9	6	7	9	106
SHREVEPORT	LA	56	9	8	9	8	9	8	7	6	6	6	8	9	93
BALTIMORE	MD	58	10	8	10	10	11	9	9	9	7	7	8	9	107
MINNEAPOLIS-ST.PAUL	MN	70	8	7	10	10	11	11	9	9	9	8	8	9	109
ROCHESTER	MN	48	8	7	10	11	12	11	10	9	10	8	8	9	113
JACKSON	MS	45	10	9	9	8	9	8	10	9	7	6	8	9	102
MERIDIAN	MS	63	10	9	9	8	8	8	11	9	7	5	7	9	100
ST. LOUIS	MO	51	8	8	10	11	11	9	8	8	7	8	9	9	106
ATLANTIC CITY AP	NJ	65	10	9	10	11	10	8	8	8	7	7	9	9	106
ASHEVILLE	NC	44	10	9	11	9	11	12	12	12	9	7	9	9	120
CHARLOTTE	NC	69	10	9	10	8	9	9	11	9	7	6	7	9	104
GREENSBORO-WNSTN-SALM-HGHPT	NC	80	10	9	10	9	10	10	12	10	7	7	8	9	111
RALEIGH	NC	64	10	9	10	9	10	9	11	10	7	7	8	9	109
MIDDLETOWN/HARRISBURG	PA	30	10	10	11	11	12	10	10	9	9	8	9	9	118
COLUMBIA	SC	61	10	9	9	8	8	10	11	10	7	6	7	9	104
GREENVILLE-SPARTANBURG AP	SC	46	10	9	10	9	10	10	11	10	8	7	8	9	111
MEMPHIS	TN	58	10	9	10	9	9	8	8	7	7	6	8	9	100
HOUSTON	TX	39	10	8	9	6	8	9	9	9	8	7	8	9	100
PORT ARTHUR	TX	55	9	8	7	6	6	8	11	11	9	6	7	9	97
SALT LAKE CITY	UT	80	10	8	9	9	8	5	4	5	5	6	8	9	86
LYNCHBURG	VA	64	10	9	10	9	11	10	11	9	8	7	8	9	111
NORFOLK	VA	60	10	9	10	10	10	9	11	10	8	7	8	9	111
RICHMOND	VA	71	10	9	10	9	10	9	11	9	8	7	8	9	109
YAKIMA	WA	62	9	7	6	5	5	4	2	2	3	4	8	9	64
MADISON	WI	60	10	8	10	11	11	10	9	9	9	9	9	9	114
BIRMINGHAM AP	AL	65	11	10	10	9	9	10	12	9	7	6	9	10	112
HUNTSVILLE	AL	41	11	9	11	9	10	9	10	8	7	7	9	10	110
ANCHORAGE	AK	44	7	7	6	5	7	8	11	13	14	12	9	10	109
BETHEL	AK	50	8	7	8	9	11	12	15	17	16	12	11	10	136
BETTLES	AK	49	8	7	7	5	7	10	11	13	11	11	10	10	110
NOME	AK	62	10	8	9	8	8	8	12	15	14	11	11	10	124
TALKEETNA	AK	54	8	8	8	7	11	12	14	16	16	13	9	10	132
SAN FRANCISCO AP	CA	81	11	10	9	5	2	1	1	1	1	3	7	10	61
SAN FRANCISCO C.O.	CA	71	11	10	10	6	3	1	1	1	2	4	8	10	67
WILMINGTON	DE	61	10	9	10	10	11	9	9	8	8	7	9	10	110
ATHENS	GA	65	11	9	10	8	8	9	10	8	7	6	8	10	104
ATLANTA	GA	74	11	9	11	8	9	10	11	9	7	6	8	10	109
HONOLULU	HI	59	9	8	8	8	6	5	7	6	6	8	9	10	90
KAHULUI	HI	50	10	9	10	9	5	4	6	6	4	6	9	10	88
POCATELLO	ID	59	12	9	9	8	9	6	4	4	4	5	8	10	88
CAIRO	IL	47	10	9	11	11	11	9	9	8	7	8	9	10	112
EVANSVILLE	IN	68	10	9	11	11	11	9	9	7	7	7	9	10	110
PADUCAH	KY	25	9	9	10	10	11	9	8	7	6	7	9	10	105
TUPELO	MS	25	10	10	10	9	10	10	8	7	6	7	9	10	106
CONCORD	NH	67	10	9	11	11	12	11	10	9	9	9	11	10	122
ATLANTIC CITY C.O.	NJ	46	10	9	10	10	10	8	8	8	7	7	9	10	106
NEWARK	NJ	67	10	9	11	11	11	10	9	9	8	8	9	10	115
ISLIP	NY	25	11	9	10	11	11	9	8	8	8	8	10	10	113
NEW YORK C.PARK	NY	139	11	9	11	10	11	10	10	9	8	8	9	10	116
NEW YORK (JFK AP)	NY	50	10	9	11	10	11	10	9	8	8	7	9	10	112
NEW YORK (LAGUARDIA AP)	NY	68	11	9	10	10	11	9	9	9	8	7	9	10	112
CAPE HATTERAS	NC	51	11	10	10	8	9	9	11	10	9	9	9	10	115
ALLENTOWN	PA	65	11	9	11	11	12	10	10	9	9	8	10	10	120
HARRISBURG	PA	49	11	10	11	13	13	11	10	9	9	9	10	10	126
PHILADELPHIA	PA	68	10	9	10	10	11	10	9	8	8	7	9	10	111
CHATTANOOGA	TN	78	11	10	11	9	10	10	11	9	7	6	8	10	112
GALVESTON	TX	63	10	8	8	6	6	7	9	9	9	7	8	10	97
WALLOPS ISLAND	VA	34	10	9	10	10	10	9	10	8	7	7	8	10	108
GREEN BAY	WI	59	10	8	10	11	11	10	9	10	9	9	9	10	116
MILWAUKEE	WI	68	11	9	11	12	11	10	9	9	8	9	10	10	119
MCGRATH	AK	66	9	8	8	7	9	12	14	16	13	12	11	11	130
REDDING	CA	22	13	10	11	8	6	3	0	0	1	4	9	11	76
BRIDGEPORT	CT	60	10	9	11	10	11	10	8	9	8	7	10	11	114
HARTFORD	CT	54	10	10	11	11	12	11	9	9	9	8	10	11	121
BOISE	ID	69	11	9	9	8	7	5	2	2	3	5	10	11	82
LEWISTON	ID	62	11	9	10	10	9	8	4	4	5	7	10	11	98
CHICAGO	IL	50	10	9	11	12	11	10	9	9	8	9	10	11	119
INDIANAPOLIS	IN	69	11	10	12	12	12	10	9	8	7	8	10	11	120
LEXINGTON	KY	64	12	11	12	12	11	10	10	9	8	8	10	11	124
LOUISVILLE	KY	61	11	10	12	11	11	10	10	8	7	7	10	11	118
PORTLAND	ME	68	11	9	11	11	12	11	9	9	8	9	11	11	122
BLUE HILL	MA	123	12	10	12	11	12	11	10	10	9	9	11	11	128
BOSTON	MA	57	11	10	11	11	11	10	9	9	8	9	10	11	120
DULUTH	MN	67	11	9	10	10	12	12	11	11	11	10	10	11	128
INTERNATIONAL FALLS	MN	69	11	8	9	9	11	13	11	11	11	10	10	11	125
BURNS	OR	24	10	9	10	9	9	5	3	2	3	5	11	11	87
BLOCK IS.	RI	36	10	9	11	10	10	9	7	8	7	8	10	11	110
PROVIDENCE	RI	55	11	9	11	11	11	10	8	9	8	8	10	11	117
BRISTOL-JHNSN CTY-KNGSPRT	TN	63	13	11	12	11	11	11	12	10	8	8	10	11	128
KNOXVILLE	TN	66	12	11	12	10	10	10	11	9	8	7	9	11	120
NASHVILLE	TN	67	11	10	11	10	10	9	10	8	7	7	9	11	113
OAK RIDGE	TN	67	12	11	12	10	11	10	12	9	8	8	9	11	123
KING SALMON	AK	63	10	9	10	10	12	13	14	17	17	13	11	12	148
BLUE CANYON	CA	61	12	11	12	10	6	3	0	1	2	5	10	12	84
MOUNT SHASTA	CA	42	12	11	12	9	7	5	2	2	3	6	10	12	91
FORT WAYNE	IN	62	12	10	12	13	12	10	9	9	8	9	10	12	126
GREATER CINCINNATI AP	KY	61	12	11	12	12	11	10	10	9	7	8	10	12	124
WORCESTER	MA	53	12	10	12	11	12	11	10	10	9	9	11	12	129
MISSOULA	MT	64	13	10	11	10	11	11	6	7	7	8	11	12	117
ALBANY	NY	62	12	10	12	12	13	11	10	10	9	9	11	12	131
COLUMBUS	OH	69	13	11	13	13	13	11	10	9	8	8	11	12	132
DAYTON	OH	65	12	11	12	12	12	10	10	9	8	8	11	12	127
PENDLETON	OR	73	12	10	10	9	8	6	2	2	4	7	11	12	93
AVOCA	PA	53	12	10	12	12	12	12	11	11	9	9	11	12	133
WILLIAMSPORT	PA	64	11	10	12	12	13	11	11	10	9	9	11	12	131
WALLA WALLA	WA	55	13	10	12	10	9	7	4	3	4	7	15	12	106
HUNTINGTON	WV	47	13	12	13	12	12	11	11	9	8	9	11	12	133
JACKSON	KY	28	13	13	13	12	13	12	12	9	8	8	11	13	137
DETROIT	MI	50	13	10	12	12	11	10	9	9	9	9	11	13	128
FLINT	MI	67	13	10	12	12	11	10	9	9	9	9	12	13	129
TOLEDO	OH	53	13	10	12	12	12	10	9	9	9	9	11	13	129
WAKE ISLAND	PC	50	11	10	12	14	15	15	19	19	19	19	15	13	181
CARIBOU	ME	69	14	12	12	12	13	13	14	13	12	12	14	14	155
ALPENA	MI	49	14	11	11	11	11	10	10	10	12	12	13	14	139
HOUGHTON LAKE	MI	44	14	10	11	11	10	10	9	9	11	12	13	14	134
LANSING	MI	54	14	11	12	12	11	10	9	9	10	9	12	14	133
MANSFIELD	OH	49	14	12	14	13	13	11	10	10	9	9	12	14	141
MEDFORD	OR	79	13	11	11	9	8	4	1	1	3	7	12	14	94
BURLINGTON	VT	65	14	11	12	12	13	12	12	12	11	11	14	14	148
SPOKANE	WA	61	14	11	11	9	9	7	4	4	5	7	12	14	107
BECKLEY	WV	45	15	14	15	14	14	12	13	11	10	10	12	14	154
CHARLESTON	WV	61	15	13	14	13	13	11	12	10	9	9	11	14	144
HOMER	AK	52	13	11	10	9	9	9	11	13	15	15	12	15	142
EUREKA	CA	98	16	14	15	12	8	5	2	2	4	8	13	15	114
SOUTH BEND	IN	69	15	12	13	13	11	10	9	9	9	10	12	15	138
MUSKEGON	MI	68	16	13	12	12	10	9	8	8	10	10	14	15	137
KALISPELL	MT	59	15	11	11	9	11	12	6	7	8	9	12	15	126
AKRON	OH	60	16	14	15	14	13	11	11	9	9	10	13	15	150
PITTSBURGH	PA	56	16	13	15	13	12	11	10	9	9	10	12	15	145
GRAND RAPIDS	MI	45	16	11	12	12	11	10	9	9	10	11	13	16	140
BINGHAMTON	NY	57	16	14	15	13	13	12	11	10	10	11	14	16	155
CLEVELAND	OH	67	16	14	15	14	13	10	10	9	9	11	14	16	151
SEXTON SUMMIT	OR	71	16	14	16	12	9	5	1	2	5	9	15	16	120
JOHNSTON ISLAND	PC	28	11	12	15	14	13	12	12	13	14	16	15	16	163
ELKINS	WV	64	17	15	16	15	14	13	13	12	10	10	13	16	164
KODIAK	AK	59	17	16	16	16	17	15	14	14	15	16	16	17	189
VALDEZ	AK	36	16	14	14	14	15	14	17	17	20	19	15	17	192
LIHUE	HI	58	14	13	16	16	15	16	19	17	16	17	17	17	193
MARQUETTE	MI	30	17	13	14	12	11	11	11	10	13	15	15	17	159
ROCHESTER	NY	68	18	15	14	13	12	10	10	10	10	11	15	17	155
YOUNGSTOWN	OH	65	17	14	15	14	13	11	10	10	10	10	14	17	155
SYRACUSE	NY	59	19	16	16	14	12	11	11	10	11	12	16	18	166
EUGENE	OR	66	17	15	16	13	10	7	2	3	5	11	16	18	133
PORTLAND	OR	68	18	15	17	14	12	9	3	4	7	12	18	18	147
ERIE	PA	55	18	14	14	13	12	10	9	10	10	12	15	18	155
SEATTLE C.O.	WA	48	18	15	17	14	11	9	5	6	8	11	18	18	150
SEATTLE SEA-TAC AP	WA	64	18	15	16	13	10	9	5	5	8	13	17	18	147
ST. PAUL ISLAND	AK	90	18	15	15	13	13	12	14	18	19	22	21	19	199
SAULT STE. MARIE	MI	67	18	14	12	11	11	11	10	10	13	14	17	19	160
BUFFALO	NY	65	19	16	15	13	12	10	10	10	11	11	15	19	161
SALEM	OR	71	18	15	17	14	11	7	2	3	6	12	17	19	141
KWAJALEIN	PC	56	15	13	15	17	20	22	23	23	22	23	22	19	234
SAN JUAN	PR	53	17	13	12	13	15	15	18	18	17	17	18	19	192
MT. WASHINGTON	NH	76	19	17	19	17	17	16	16	15	14	15	19	20	204
OLYMPIA	WA	67	19	16	18	14	11	9	4	5	8	14	19	20	157
COLD BAY	AK	63	19	18	18	16	17	16	17	20	21	23	22	21	228
JUNEAU	AK	64	18	16	18	16	16	15	17	17	21	23	20	21	218
HILO	HI	66	17	17	22	25	24	24	27	26	23	23	23	21	272
ANNETTE	AK	61	20	18	20	18	16	15	14	15	18	23	22	22	221
YAKUTAT	AK	62	19	18	19	18	18	16	18	18	21	24	21	22	232
ASTORIA	OR	55	21	18	20	18	15	13	7	7	9	16	20	22	186
MAJURO	PC	54	18	15	17	20	23	23	24	23	22	23	22	22	252
PAGO PAGO	PC	42	24	21	23	21	20	18	18	17	17	21	20	22	242
YAP	PC	60	20	17	17	17	21	23	24	23	22	23	22	22	251
QUILLAYUTE	WA	42	22	18	21	19	16	14	10	9	11	18	22	22	202
GUAM	PC	51	20	18	18	19	20	23	25	25	25	25	24	23	265
CHUUK	PC	57	19	16	19	20	24	24	24	24	22	23	23	23	261
KOROR	PC	57	22	19	20	18	23	24	23	22	20	22	22	24	259
POHNPEI	PC	57	22	19	22	24	27	26	26	26	24	25	24	24	289
															
															
															
															
